priority_tier,region,country,anchor_food_candidate,local_name_or_keyword,food_family,visual_signature,buyer_jobs,first_asset_format,search_keywords_en,validation_status,confidence,source_basis,recommended_next_action,risk_notes
P0,South-East Asia,Indonesia,Rendang,Rendang,slow-cooked stew,dark glossy spice-coated pieces coconut gravy,recipe editorial tourism menu packaging,isolated JPEG + ingredient variant,rendang Indonesian beef stew Minangkabau coconut milk,validated anchor; regional context required,high,Indonesia mapping + food identity study,create 3 distinct variants: plated dish spice paste ingredient ecology,avoid claiming one canonical recipe; halal/meat depiction must be accurate
P0,East Asia,Japan,Washoku seasonal meal,Washoku,seasonal set meal,ordered small dishes rice fish vegetables lacquer-like tableware,editorial tourism cookbook wellness,clean meal-set JPEG + ingredient objects,Japanese washoku seasonal meal osechi rice fish traditional food,validated practice; dish set varies,high,UNESCO Washoku,model seasonal ingredient and tableware set without invented ritual claims,avoid sacred/New Year symbolism unless documented
P0,North America, Mexico,Traditional maize/tamale or taco,nixtamal tortilla tamal,tortilla-based cuisine,corn tortilla masa chili beans colourful fillings stone mortar,food editorial tourism menu packaging,isolated dish + process object,tacos tamales traditional Mexican cuisine corn nixtamalization,validated culinary system; select specific regional dish,high,UNESCO Traditional Mexican Cuisine,begin with tortilla/tamal process and one dish variant,avoid flattening all Mexican cuisine into tacos; do not label generic corn product as heritage
P0,Europe,Italy,Neapolitan pizza,Pizza Napoletana,pizza,broad round dough raised rim tomato mozzarella charred spots,restaurant menu tourism editorial packaging,isolated pizza + dough process,pizza napoletana Neapolitan pizzaiuolo wood fired,validated craft practice; exact style needs expert check,high,UNESCO Neapolitan Pizzaiuolo,create dough-to-oven visual series with no readable restaurant branding,avoid fake certification or named pizzeria
P0,South-East Asia,Thailand,Tom yum kung,Tomyum Kung,herb prawn soup,red-orange broth prawns lemongrass kaffir lime galangal,recipe editorial tourism menu,top-down bowl + ingredient cluster,tomyum kung Thai prawn soup lemongrass galangal,validated UNESCO practice,high,UNESCO Tomyum Kung,produce soup and raw herb ingredient variants,avoid invented health claims or overgeneralizing Thai cuisine
P0,East Asia,South Korea,Kimjang kimchi,Kimjang kimchi,fermented vegetable food,red napa cabbage jars chilli paste communal preparation,food editorial fermentation education tourism,isolated kimchi jar + process still,kimjang kimchi Korean fermentation napa cabbage,validated practice; dish vs making ritual distinction needed,high,UNESCO Kimjang search result; direct URL queued,create food-only and community-process briefs separately,avoid depicting people without releases; do not imply all kimchi is kimjang
P0,South Asia,India,Biryani or thali,Biryani,spiced rice meal,layered rice saffron herbs fried onion vessel,recipe editorial restaurant menu tourism,isolated plated rice + ingredient objects,Indian biryani traditional rice dish saffron spices,anchor is broad; region must be selected,medium,food identity study + seed research,choose regional variant after local-source validation,avoid calling one regional biryani the national standard; religious dietary context
P0,East Asia,China,Dim sum or Peking duck,dim sum / 北京烤鸭,steamed dumpling or roast dish,bamboo steamer dumplings or lacquered roast duck,menu editorial tourism packaging,isolated dish family + steamer,Chinese dim sum traditional food Peking duck bamboo steamer,anchor broad; city/region required,medium,food identity study + seed research,choose either dim sum or Peking duck as separate collections,avoid invented dynasty claims and brand-like restaurant marks
P0,South-East Asia,Viet Nam,Phở,Phở,noodle soup,clear broth rice noodles herbs sliced meat chopsticks,recipe editorial tourism menu,isolated bowl + herb ingredient objects,Vietnamese pho noodle soup herbs street food,validated widely recognized anchor; regional style required,high,food identity study + seed research,create broth/herb/bowl variants with copy space,avoid false Hanoi/Saigon location claims and unreadable signage
P0,Middle East, Türkiye,Baklava or kebab,baklava,layered pastry or grilled food,geometric pastry layers pistachio syrup or skewers charcoal,food editorial tourism menu packaging,isolated pastry stack + ingredient objects,Turkish baklava pistachio traditional dessert,anchor broad; regional lineage complex,medium,seed research + cultural-food scholarship,validate specific locality and spelling,avoid claims of exclusive origin for shared foods
