priority,region_or_city,candidate_food,food_family,core_ingredients_or_components,visual_signature,heritage_or_identity_angle,buyer_jobs,asset_series_plan,keyword_seed_en,validation_status,confidence,source_basis,risk_notes
P0,West Sumatra / Minangkabau,Rendang,slow-cooked stew,beef or local protein coconut milk spice paste,deep brown glossy sauce and irregular pieces,Minangkabau culinary identity; adaptation by environment and protein,recipe editorial tourism menu packaging,hero dish; spice paste; coconut; regional variant,Indonesian rendang Minangkabau beef coconut milk slow cooked,validated anchor; recipe variation required,high,Wijaya 2019 + food identity study,do not imply one canonical protein or preparation
P0,Indonesia-wide / regional,Sambal,condiment,paprika/chili shallot garlic tomato terasi or local fruit,red/green paste raw/cooked crushed/chopped,high regional diversity with 110 varieties documented in review,recipe editorial ingredient education packaging,3 variants per region; raw vs cooked; fruit/fish/herb modules,Indonesian sambal traditional chili paste regional varieties,validated family; exact names require per-row source,high,Surya & Tedjakusuma 2022,avoid unsupported counts beyond cited 110; identify regional spelling
P0,Palembang South Sumatra,Pempek,fish-and-sago dumpling,fish tapioca/sago salt cuko sauce,white/grey sculptural shapes with dark glossy sauce,Palembang identity connected to river ecology and local production,menu souvenir packaging tourism editorial,kapal selam; lenjer; cuko; fish+sago ingredient objects,Pempek Palembang fish sago cuko Indonesian food,validated anchor and identity,high,Wargadalem et al. 2023,shape names and fish types need controlled recipe references
P0,Yogyakarta Central Java,Gudeg,jackfruit stew,young jackfruit coconut milk palm sugar eggs tofu,orange-brown fibrous jackfruit and banana-leaf serving,Yogyakarta regional tourism symbol and Javanese food identity,menu tourism editorial souvenir packaging,dry/wet gudeg; jackfruit ingredient; rice plate,gudeg Yogyakarta young jackfruit stew traditional food,anchor from mapping source; recipe validation required,medium,Wijaya 2019 + local source needed,do not present one plating as universal
P0,Java / Central Java,Gado-gado,vegetable salad with peanut sauce,blanched vegetables tofu tempe egg peanut sauce,high colour contrast and thick sauce,plant-forward everyday food; recognizable Indonesian dish,recipe wellness editorial menu packaging,ingredient grid; sauce pour; isolated components,gado gado Indonesian vegetable salad peanut sauce,validated national anchor; regional variation,high,Indonesia five-dish references + food identity study,avoid health claims and generic “Asian salad” metadata
P0,Indonesia-wide,Sate / satay,skewer grill,skewered meat or plant protein peanut/sweet soy sauce,repeatable skewer geometry charred edges sauce bowl,portable/street-food format with regional variants,menu tourism social packaging,ayam; kambing; lilit; padang; sauce and skewer modules,Indonesian sate satay grilled skewers peanut sauce,validated anchor family; local subtype needed,high,Indonesia five-dish references + mapping,do not mix regional subtypes in one “authentic” asset
P0,Indonesia-wide,Soto,soup,noodle/rice meat or chicken turmeric/herb broth,clear/yellow/dark broth garnish contrast,wide family of regional soups and everyday identity,recipe editorial menu tourism,basis variants: ayam; betawi; madura; banjar; rawon-adjacent separate,soto Indonesian traditional soup regional varieties,validated family; exact regional source required,high,Indonesia five-dish references + mapping,do not call all soups soto; preserve regional name
P0,Indonesia-wide,Nasi goreng,fried rice,rice kecap manis aromatics egg or protein,granular rice dark glaze wok-charred garnish,portable ubiquitous dish and Indonesia identity,menu editorial travel food packaging,plain; kampung; seafood; regional garnish,nasi goreng Indonesian fried rice traditional food,validated national anchor; style variation,high,food identity study + mapping,avoid brand sauces and false “original recipe” claim
P1,Bali,Ayam betutu,spiced wrapped roast/braise,chicken spice paste banana leaf,whole chicken or portion with dense red spice coating and leaf wrap,Balinese ceremonial and regional food context,recipe tourism editorial menu,whole; wrapped process; spice paste; plated portion,ayam betutu Balinese spiced chicken banana leaf,anchor requires local source for ritual claims,medium,ethnographic/local cuisine source needed,avoid using sacred ceremonial props without consultation
P1,Lombok West Nusa Tenggara,Ayam taliwang,grilled chicken,chicken chilli garlic shrimp paste lime,small grilled chicken with red charred sambal,regional Sumbawa/Lombok culinary heritage and tourism asset,menu tourism barbecue editorial,whole chicken; sauce; grill process; ingredient setup,ayam taliwang Lombok grilled chicken traditional food,anchor backed by academic snippet; full source needed,medium,Ayam Taliwang study search result,avoid invented “authentic” preparation and unverified festival claims
